휴게소명,도로명,경도,위도
마장(남이),중부선,127.4078964,37.2628324
안성맞춤(안성),평택제천선,127.27479,36.96962
안성맞춤(음성),평택제천선,127.2741,36.96821
천등산(제천),평택제천선,128.18144,36.37366
천등산(제천),평택제천선,127.4843,36.54391
금왕(평택),평택제천선,127.5872859,36.9705562
금왕(제천),평택제천선,127.5885814,36.9692362
영산(내서),중부내륙선,128.49615,35.42957
칠서(양평),중부내륙선,128.49676,35.37093
선산(양평),중부내륙선,128.24895,36.27762
선산(내서),중부내륙선,128.25081,36.27471
충주(양평),중부내륙선,127.83877,37.02296
충주(내서),중부내륙선,127.83767,37.02249
괴산(양평),중부내륙선,127.9595,36.83172
괴산(내서),중부내륙선,127.95833,36.83145
문경(양평),중부내륙선,128.15212,36.62038
문경(내서),중부내륙선,128.1503,36.621
서여주(강릉),중부내륙선,127.5513929,37.2380119
서여주(인천),중부내륙선,127.55704,37.2587534
성주(양평),중부내륙선,128.15023,37.10264
성주(마산),중부내륙선,127.19304,37.52594
남성주(마산),중부내륙선,128.752929,37.95314
남성주(김천),중부내륙선,128.767609,37.9361
용인(인천),영동선,127.23826,37.24791
용인(강릉),영동선,127.24211,37.24602
여주(인천),영동선,127.56999,37.23948
여주(강릉),영동선,127.56886,37.23867
문막(인천),영동선,127.8177,37.29768
횡성(인천),영동선,128.13489,37.46468
횡성(강릉),영동선,128.134369,37.46335
문막(강릉),영동선,127.85774,37.335249
평창(인천),영동선,128.46368,37.61035
평창(강릉),영동선,128.45288,37.60593
강릉(인천),영동선,128.80554,37.759229
강릉(강릉),영동선,128.806189,37.75801
덕평(강릉),영동선,127.389689,37.241772
덕평(인천),영동선,127.3879999,37.2412764
홍천강,중앙선,127.82774,37.712689
치악(부산),중앙선,128.049109,37.253949
치악(춘천),중앙선,128.04853,37.25631
안동(부산),중앙선,128.64255,36.553329
안동(춘천),중앙선,128.64437,36.553509
군위(부산),중앙선,128.57532,36.26642
군위(춘천),중앙선,128.576529,36.26575
단양(부산),중앙선,128.28744,36.99496
단양(춘천),중앙선,128.32292,36.94269
춘천(부산),중앙선,127.76667,37.812529
동명(춘천),중앙선,128.54869,36.00622
동명(부산),중앙선,128.54708,36.006789
원주(부산),중앙선,127.93127,37.43473
원주(춘천),중앙선,127.92953,37.4353
청도(대구),대구부산선,126.73219,35.671949
청도(부산),대구부산선,126.7347,35.672129
가평(양양),서울양양선,127.30925,35.54045
가평(서울),서울양양선,128.181469,36.37471
내린천(양양),서울양양선,128.2841667,37.9163491
홍천(서울),서울양양선,127.8816864,37.7533741
홍천(양양),서울양양선,128.0016237,37.7571553
내린천(서울),서울양양선,128.445013,36.410843
