휴게소명,도로명,경도,위도
천등산(제천),평택제천선,127.484300,36.543910
금왕(평택),평택제천선,9999,9999
금왕(제천),평택제천선,9999,9999
영산(내서),중부내륙선,128.496150,35.429570
칠서(양평),중부내륙선,128.496760,35.370930
선산(양평),중부내륙선,128.248950,36.277620
선산(내서),중부내륙선,128.250810,36.274710
충주(양평),중부내륙선,127.838770,37.022960
충주(내서),중부내륙선,127.837670,37.022490
괴산(양평),중부내륙선,127.959500,36.831720
괴산(내서),중부내륙선,127.958330,36.831450
문경(양평),중부내륙선,128.152120,36.620380
문경(내서),중부내륙선,128.150300,36.621000
서여주(강릉),중부내륙선,9999,9999
서여주(인천),중부내륙선,9999,9999
성주(양평),중부내륙선,128.150230,37.102640
성주(마산),중부내륙선,127.193040,37.525940
남성주(마산),중부내륙선,128.752929,37.953140
남성주(김천),중부내륙선,128.767609,37.936100
용인(인천),영동선,127.238260,37.247910
용인(강릉),영동선,127.242110,37.246020
여주(인천),영동선,127.569990,37.239480
여주(강릉),영동선,127.568860,37.238670
문막(인천),영동선,127.817700,37.297680
횡성(인천),영동선,128.134890,37.464680
횡성(강릉),영동선,128.134369,37.463350
문막(강릉),영동선,127.857740,37.335249
평창(인천),영동선,128.463680,37.610350
평창(강릉),영동선,128.452880,37.605930
강릉(인천),영동선,128.805540,37.759229
강릉(강릉),영동선,128.806189,37.758010
덕평(강릉),영동선,9999,9999
덕평(인천),영동선,9999,9999
홍천강,중앙선,127.827740,37.712689
치악(부산),중앙선,128.049109,37.253949
치악(춘천),중앙선,128.048530,37.256310
안동(부산),중앙선,128.642550,36.553329
안동(춘천),중앙선,128.644370,36.553509
군위(부산),중앙선,128.575320,36.266420
군위(춘천),중앙선,128.576529,36.265750
단양(부산),중앙선,128.287440,36.994960
단양(춘천),중앙선,128.322920,36.942690
춘천(부산),중앙선,127.766670,37.812529
동명(춘천),중앙선,128.548690,36.006220
동명(부산),중앙선,128.547080,36.006789
원주(부산),중앙선,127.931270,37.434730
원주(춘천),중앙선,127.929530,37.435300
청도(대구),대구부산선,126.732190,35.671949
청도(부산),대구부산선,126.734700,35.672129
가평(양양),서울양양선,127.309250,35.540450
가평(서울),서울양양선,128.181469,36.374710
내린천(양양),서울양양선,9999,9999
홍천(서울),서울양양선,9999,9999
홍천(양양),서울양양선,9999,9999
내린천(서울),서울양양선,128.445013,36.410843
동해(삼척),동해선(삼척-속초),129.074420,37.601180
옥계(속초),동해선(삼척-속초),9999,9999
구정(주문진),동해선(삼척-속초),128.853760,37.722789
구정(동해),동해선(삼척-속초),128.851470,37.722470
장안(부산),부산울산선,126.799820,36.258579
장안(울산),부산울산선,126.797070,36.257889
외동(울산),동해선(부산-포항),127.103574,37.264189
외동(포항),동해선(부산-포항),127.406646,37.264224
서하남(판교),수도권제1순환선,128.346929,35.293680
구리(퇴계원),수도권제1순환선,9999,9999
시흥하늘(구리),수도권제1순환선,128.447515,36.409546
시흥하늘(일산),수도권제1순환선,129.011888,36.456730
장유(부산),남해2지선,9999,9999
장유(부산),남해2지선,9999,9999
부여(동서천),서천공주선,126.577780,35.343050
부여(서공주),서천공주선,126.990320,36.398469
청양(서공주),서천공주선,126.992920,36.399540
청양(동서천),서천공주선,126.996820,36.523390
계룡(대전),호남지선,127.288300,36.262480
벌곡(논산),호남지선,127.273960,36.217810
양촌(대전),호남지선,9999,9999
벌곡(회덕),호남지선,128.403670,35.767150
현풍(대구),중부내륙지선,128.437500,35.702340
현풍(현풍),중부내륙지선,128.436029,35.702200
