노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
500,영동선,133.5,37.40690517,127.9862319,287317.2855,534628.4288
500,영동선,133.6,37.40735829,127.9872079,287403.1747,534679.6244
500,영동선,133.7,37.40784708,127.9881565,287486.5925,534734.7541
500,영동선,133.8,37.40836777,127.989078,287567.5741,534793.4015
500,영동선,133.9,37.40891971,127.9899705,287645.9481,534855.4898
500,영동선,134,37.40950466,127.9908293,287721.3024,534921.2124
500,영동선,134.1,37.41012024,127.9916538,287793.5809,534990.3026
500,영동선,134.2,37.41073993,127.9924736,287865.4347,535059.8448
500,영동선,134.3,37.41135902,127.9932941,287937.3551,535129.3225
500,영동선,134.4,37.4119837,127.9941079,288008.6739,535199.4149
500,영동선,134.5,37.41260965,127.9949202,288079.8569,535269.648
500,영동선,134.6,37.41323141,127.9957376,288151.4914,535339.4207
500,영동선,134.7,37.41385548,127.9965522,288222.878,535409.4477
500,영동선,134.8,37.4144772,127.9973696,288294.5133,535479.2172
500,영동선,134.9,37.41511734,127.9981641,288364.0936,535551.0106
500,영동선,135,37.41581497,127.998878,288426.4812,535629.1099
500,영동선,135.1,37.41656337,127.999506,288481.1959,535712.7636
500,영동선,135.2,37.41735588,128.0000427,288527.7737,535801.2284
500,영동선,135.3,37.41815483,128.0005647,288573.0424,535890.3942
500,영동선,135.4,37.41895141,128.0010922,288618.8029,535979.3023
500,영동선,135.5,37.41975122,128.0016122,288663.8872,536068.5612
500,영동선,135.6,37.42055027,128.0021339,288709.1326,536157.7386
500,영동선,135.7,37.42134977,128.0026546,288754.2801,536246.9659
500,영동선,135.8,37.42214895,128.0031761,288799.4971,536336.1577
500,영동선,135.9,37.42294874,128.003696,288844.5818,536425.4167
500,영동선,136,37.42374757,128.0042184,288889.8726,536514.5708
500,영동선,136.1,37.42454618,128.0047412,288935.208,536603.7024
500,영동선,136.2,37.42534268,128.0052691,288980.9932,536692.6039
500,영동선,136.3,37.42614265,128.0057887,289026.0376,536781.8832
500,영동선,136.4,37.42694258,128.0063083,289071.0895,536871.1589
500,영동선,136.5,37.42774439,128.0068234,289115.7332,536960.6382
500,영동선,136.6,37.42855379,128.0073195,289158.6821,537050.9434
500,영동선,136.7,37.42936919,128.0077999,289200.236,537141.8991
500,영동선,136.8,37.43019249,128.0082586,289239.8578,537233.7113
500,영동선,136.9,37.43102294,128.0086965,289277.6322,537326.2975
500,영동선,137,37.43185982,128.0091148,289313.6576,537419.5795
500,영동선,137.1,37.4326971,128.0095318,289349.5747,537512.9047
500,영동선,137.2,37.43353363,128.0099512,289385.7016,537606.1498
500,영동선,137.3,37.43436782,128.0103779,289422.4702,537699.141
500,영동선,137.4,37.43518854,128.0108429,289462.6488,537790.6745
500,영동선,137.5,37.43595551,128.0114337,289514.0308,537876.3615
500,영동선,137.6,37.43664936,128.0121528,289576.8421,537954.0557
500,영동선,137.7,37.43725786,128.0129848,289649.7522,538022.3847
500,영동선,137.8,37.4377605,128.013921,289732.0108,538079.0635
500,영동선,137.9,37.43815279,128.0149371,289821.4672,538123.5727
500,영동선,138,37.43842636,128.0160126,289916.3264,538154.962
500,영동선,138.1,37.43859453,128.0171223,290014.3357,538174.686
500,영동선,138.2,37.43872292,128.0182406,290113.1534,538190.0052
500,영동선,138.3,37.4388519,128.0193588,290211.9593,538205.3903
500,영동선,138.4,37.43897719,128.0204777,290310.8293,538220.3683
500,영동선,138.5,37.43911023,128.0215951,290409.5656,538236.2058
500,영동선,138.6,37.43923555,128.022714,290508.4336,538251.1885
500,영동선,138.7,37.43937174,128.0238308,290607.1119,538267.378
500,영동선,138.8,37.43953936,128.0249408,290705.1439,538287.0505
500,영동선,138.9,37.43975338,128.0260382,290802.0006,538311.8609
500,영동선,139,37.44002613,128.0271148,290896.9522,538343.1716
500,영동선,139.1,37.44035479,128.0281666,290989.6368,538380.6645
500,영동선,139.2,37.44073623,128.02919,291079.7471,538423.9896
500,영동선,139.3,37.44117609,128.0301758,291166.4586,538473.7632
500,영동선,139.4,37.44166652,128.0311234,291249.721,538529.1142
500,영동선,139.5,37.44220627,128.0320278,291329.1035,538589.898
500,영동선,139.6,37.44279045,128.0328877,291404.4903,538655.5693
500,영동선,139.7,37.44341169,128.0337058,291476.1333,538725.316
500,영동선,139.8,37.44407251,128.0344737,291543.2832,538799.4066
500,영동선,139.9,37.44473339,128.0352416,291610.4351,538873.504
500,영동선,140,37.44539213,128.0360124,291677.8409,538947.3678
500,영동선,140.1,37.44604972,128.0367848,291745.3873,539021.106
500,영동선,140.2,37.44670459,128.0375607,291813.2549,539094.5459
500,영동선,140.3,37.44730687,128.0384004,291886.8203,539162.2126
500,영동선,140.4,37.44784737,128.0393037,291966.0971,539223.084
500,영동선,140.5,37.44831205,128.0402713,292051.1482,539275.6045
500,영동선,140.6,37.44870752,128.0412861,292140.4643,539320.4899
500,영동선,140.7,37.44901783,128.0423465,292233.9127,539355.9696
500,영동선,140.8,37.44924759,128.0434387,292330.2827,539382.5407
500,영동선,140.9,37.4493913,128.0445538,292428.7793,539399.5838
500,영동선,141,37.44945669,128.0456806,292528.4053,539407.9477
500,영동선,141.1,37.44943808,128.0468098,292628.3559,539406.9918
500,영동선,141.2,37.44933493,128.0479322,292727.7963,539396.6477
500,영동선,141.3,37.44918487,128.0490463,292826.5751,539381.0889
500,영동선,141.4,37.44903059,128.0501596,292925.2819,539365.0635
500,영동선,141.5,37.44887828,128.0512734,293024.0237,539349.2572
500,영동선,141.6,37.44872412,128.0523867,293122.7322,539333.2463
500,영동선,141.7,37.44857581,128.0535013,293221.5444,539317.8879
500,영동선,141.8,37.44841944,128.0546141,293320.2125,539301.6336
500,영동선,141.9,37.44825884,128.0557259,293418.7999,539284.9108
500,영동선,142,37.44810655,128.0568397,293517.5428,539269.1127
500,영동선,142.1,37.4479543,128.0579534,293616.2866,539253.3197
500,영동선,142.2,37.44780351,128.0590674,293715.0567,539237.691
500,영동선,142.3,37.447662,128.0601834,293813.9845,539223.0957
500,영동선,142.4,37.44752119,128.0612988,293912.8689,539208.5786
500,영동선,142.5,37.44736657,128.0624118,294011.5553,539192.5265
500,영동선,142.6,37.44721138,128.0635249,294110.2475,539176.4136
500,영동선,142.7,37.44705685,128.0646381,294208.9507,539160.3743
